Date,Open,High,Low,Close,Adj Close,Volume
2016-03-22,376.950012,381.5,370.399994,377.200012,377.047302,8909026
2016-03-23,378.0,379.450012,374.049988,377.0,376.847382,5766182
2016-03-28,375.5,375.5,361.5,363.299988,363.15292400000004,8062793
2016-03-29,364.0,378.950012,363.049988,372.450012,372.299225,9364810
2016-03-30,380.5,391.5,376.799988,388.600006,388.442688,10295891
2016-03-31,387.899994,393.600006,380.5,386.600006,386.443512,10738707
2016-04-01,386.399994,386.399994,377.700012,379.649994,379.496307,5683771
2016-04-04,385.950012,391.0,382.399994,388.399994,388.242767,6011729
2016-04-05,386.0,386.0,369.0,370.5,370.350006,6058241
2016-04-06,373.700012,382.399994,372.049988,376.700012,376.54751600000003,7323269
2016-04-07,375.950012,384.799988,370.299988,375.200012,375.04812599999997,8724110
2016-04-08,375.5,380.049988,370.5,371.450012,371.299622,4860484
2016-04-11,373.950012,387.799988,373.899994,386.649994,386.493469,6827449
2016-04-12,387.950012,397.399994,387.149994,395.799988,395.63974,7702684
2016-04-13,400.0,411.75,398.149994,408.75,408.58453399999996,12373115
2016-04-18,407.649994,409.899994,402.5,407.350006,407.185089,5571076
2016-04-20,407.0,410.350006,400.649994,404.100006,403.936401,7589901
2016-04-21,408.700012,417.200012,406.0,411.5,411.33340499999997,9211869
2016-04-22,412.100006,420.5,408.0,417.0,416.831177,5995998
2016-04-25,417.600006,417.600006,410.0,412.200012,412.033142,3272996
2016-04-26,408.649994,423.64999400000005,405.049988,419.049988,418.880341,6998505
2016-04-27,418.950012,425.25,414.649994,418.549988,418.380554,6227941
2016-04-28,418.799988,420.950012,409.700012,411.350006,411.183472,7546101
2016-04-29,410.0,413.700012,403.049988,408.350006,408.184692,6251095
2016-05-02,407.950012,410.450012,402.5,407.700012,407.534973,4178821
2016-05-03,410.899994,422.0,407.799988,409.649994,409.484161,9620804
2016-05-04,405.5,405.5,380.100006,381.799988,381.645416,12069134
2016-05-05,384.0,396.049988,383.149994,391.149994,390.99163799999997,9601341
2016-05-06,388.600006,400.899994,384.5,398.700012,398.53860499999996,9953672
